category_id,parent_id,name,breadcrumb
6407116,6406751,"Autoelektronik, GPS & Sicherheitstechnik","Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik"
6407117,6407116,Autoentertainment,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment"
6407118,6407117,Auto DVD Player,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player"
6407119,6407117,Autoradios,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios"
6406754,6406751,Autoteile & Zubehör,Auto & Motorrad: Teile > Autoteile & Zubehör
6407120,6406754,Auspuff- & Abgassysteme,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme
6407121,6407120,Lambdasonden & O2-Sensoren,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren
6407122,6406754,Autoelektrik,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik
6407123,6407122,Anlasser,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser
6407124,6407122,Batterien,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Batterien
6407125,6406754,Bremsen & Bremsenteile,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile
6407126,6407125,Bremsbeläge,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge
6407127,6407125,Bremsscheiben,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben
6406755,6406754,Federung & Lenkung,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung
6407128,6406755,Lenkgetriebe & -gehäuse,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Lenkgetriebe & -gehäuse
6407129,6406755,Lenksäulen,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen
6407130,6406755,"Radlager, -naben & Buchsen","Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen"
6407131,6406755,Stoßdämpfer- & Federbeinhalterungen,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen
6407132,6406754,Getriebe & Antriebstechnik,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik
6407133,6407132,"Antriebswellengelenke, Achsmanschetten & Teile","Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile"
6407489,6407132,Kupplungsteile & -sätze,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze
6407490,6407489,Kupplungssätze,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungssätze
6406756,6406754,Innenausstattung,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung
6407134,6406756,"Fußmatten, Teppiche & Laderaumwannen","Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen"
6407135,6406756,Sonnen- & Sichtschutze,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze
6407491,6406754,"Karosserie-, Anbauteile & Zubehör","Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör"
6407492,6407491,Außenspiegel & Teile,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile"
6407493,6407492,Außenspiegel,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel"
6407494,6407491,Schutzvorrichtungen & Schmutzfänger,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger"
6407495,6407494,Weitere Schutzvorrichtungen & Protektoren,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren"
6407136,6406754,Luft- & Kraftstoffversorgung,Auto & Motorrad: Teile > Autoteile & Zubehör > Luft- & Kraftstoffversorgung
6407138,6407136,Lufteinlass- & Kraftstoffsensoren,Auto & Motorrad: Teile > Autoteile & Zubehör > Luft- & Kraftstoffversorgung > Lufteinlass- & Kraftstoffsensoren
6406757,6406754,Motoren & Motorenteile,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile
6407496,6406757,Dichtungen & Montageteile,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile
6407497,6407496,Dichtungen & Dichtungsringe,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe
6407498,6407496,Dichtungssätze,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze
6407139,6406757,Inspektionspakete & -kits,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits
6407141,6406757,Ölfilter,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter
6467449,6406757,Ölpumpen & Teile,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölpumpen & Teile
6407499,6406757,Ventilsteuerungsteile,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile
6407500,6407499,Nockenwellen,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen
6407142,6406754,Motorkühlung,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung
6407143,6407142,Ausgleichsbehälter,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter
6406758,6406751,Erste Hilfe- & Notfallausrüstungen,Auto & Motorrad: Teile > Erste Hilfe- & Notfallausrüstungen
6406759,6406758,Sicherheit,Auto & Motorrad: Teile > Erste Hilfe- & Notfallausrüstungen > Sicherheit
6406760,6406751,"Kleidung, Schutzausrüstung & Merchandise","Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise"
6406761,6406760,Helme & Zubehör,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör"
6407144,6406761,Motorrad- & Motorsporthelme,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme"
6407145,6406751,Klein- & Leichtkraftradteile,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile
6407146,6407145,Leichtkraftradteile,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile > Leichtkraftradteile
6407147,6407146,Elektrik & Zündung,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile > Leichtkraftradteile > Elektrik & Zündung
6406762,6406751,Motorrad- & Rollerteile & -zubehör,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör
6407148,6406762,Elektrik & Zündungen,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen
6407149,6407148,Batterien,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien
6407501,6406762,Getriebe & Antriebstechnik,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik
6407502,6407501,Endantriebsriemen & -ketten & Zahnriemensätze,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze
6407503,6407502,Endantriebsriemen & -ketten,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten
6418669,6407502,Primärzahnriemen & -ketten,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten
6406763,6406762,Spiegel,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Spiegel
6406764,6406751,"Öl, Pflege- & Schmiermittel","Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel"
6406765,6406764,Automatikgetriebeöl,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl"
6406766,6406764,Getriebeöl,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Getriebeöl"
6406767,6406764,Motoröl,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
6406768,6406751,"Quad-, SSV- & UTV-Teile & -Zubehör","Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör"
6406769,6406768,Ansaug- & Kraftstoffsysteme,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme"
6407504,6406768,Verkleidungen & Rahmen,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen"
6407505,6407504,"Verkleidungen, Türen & Kotflügel","Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel"
6407506,6407505,Windschutz- & Fensterscheiben,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel > Windschutz- & Fensterscheiben"
6407150,6406751,Spezielle Fahrzeug-Teile,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile
6407151,6407150,Pkw-Anhänger Ersatzteile,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile
6407152,6407151,Karosserie & Fahrwerk,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk
6407153,6407151,Stützen & Keile,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile
6407507,6407150,Wohnmobil- & Wohnwagenteile & Zubehör,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör
6407508,6407507,Wasser- & Sanitärsysteme,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme
6407509,6407508,Wasserpumpen,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme > Wasserpumpen
6406770,6406751,Werkzeuge,Auto & Motorrad: Teile > Werkzeuge
6407154,6406751,Werkzeuge & Werkstattbedarf,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf
6407155,6407154,Motorwerkzeuge & -geräte,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte
6407156,6407155,Motor-Einstellwerkzeuge,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte > Motor-Einstellwerkzeuge
6406771,6406770,Hebezeuge & Wagenheber,Auto & Motorrad: Teile > Werkzeuge > Hebezeuge & Wagenheber
6407157,6406770,Reparatur-Sets & Teile,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile
6407158,6407157,Reifenreparatur,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur
6407159,6406770,Werkstattausstattung & -bedarf,Auto & Motorrad: Teile > Werkzeuge > Werkstattausstattung & -bedarf
6407160,6407159,Federspanner,Auto & Motorrad: Teile > Werkzeuge > Werkstattausstattung & -bedarf > Federspanner
6407161,6406751,Wohnmobil- & Caravan-Teile & Zubehör,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör
6407162,6407161,Heizungen & Klimaanlagen,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen
6407163,6407162,Standheizungen,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen
6406651,0,Baby,Baby
6406772,0,Baby & Kind,Baby & Kind
6467160,6406772,Babyartikel,Baby & Kind > Babyartikel
6467373,6467160,Baby- & Kindermöbel,Baby & Kind > Babyartikel > Baby- & Kindermöbel
6467478,6467373,Kindergarderoben,Baby & Kind > Babyartikel > Baby- & Kindermöbel > Kindergarderoben
6467413,6467160,Baby- & Kleinkinderspielzeuge,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge
6467414,6467413,Holzspielzeuge,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge > Holzspielzeuge
6467415,6467414,Bauklötze,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge > Holzspielzeuge > Bauklötze
6467161,6467160,Babykleidung,Baby & Kind > Babyartikel > Babykleidung
6467472,6467161,Babyregenbekleidung,Baby & Kind > Babyartikel > Babykleidung > Babyregenbekleidung
6467294,6467161,Babyschuhe,Baby & Kind > Babyartikel > Babykleidung > Babyschuhe
6467295,6467294,Babysneakers,Baby & Kind > Babyartikel > Babykleidung > Babyschuhe > Babysneakers
6467162,6467161,Babystrumpfhosen,Baby & Kind > Babyartikel > Babykleidung > Babystrumpfhosen
6467259,6467160,Kinderautositze & Zubehör,Baby & Kind > Babyartikel > Kinderautositze & Zubehör
6467260,6467259,Babyschalen & Kindersitze,Baby & Kind > Babyartikel > Kinderautositze & Zubehör > Babyschalen & Kindersitze
6467461,6467160,Kinderwagen & Babytragen,Baby & Kind > Babyartikel > Kinderwagen & Babytragen
6467462,6467461,Kinderwagen & Zubehör,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör
6467463,6467462,Kinderwagen,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör > Kinderwagen
6467464,6467463,Sportkinderwagen,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör > Kinderwagen > Sportkinderwagen
6467378,6467160,Pflege & Entwicklung,Baby & Kind > Babyartikel > Pflege & Entwicklung
6467379,6467378,Wickelauflagen & -bezüge,Baby & Kind > Babyartikel > Pflege & Entwicklung > Wickelauflagen & -bezüge
6406773,6406772,Kindersitze & Zubehör,Baby & Kind > Kindersitze & Zubehör
6406774,6406773,Kindersitze,Baby & Kind > Kindersitze & Zubehör > Kindersitze
6467252,6406772,Spielwaren,Baby & Kind > Spielwaren
6467341,6467252,Kinder Spielwelten,Baby & Kind > Spielwaren > Kinder Spielwelten
