category_id;breadcrumb;count
263094;Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Spiegel;1
178934;Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme;1
19456;Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile;1
179466;Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur;1
179501;Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl;1
25668;Baby > Auto-Kindersitze & Zubehör;1
162041;Baby > Bettausstattung > Matratzenschoner & -auflagen;1
157325;Baby > Ernährung > Kindergeschirr & -besteck;1
117385;Baby > Ernährung > Kindergeschirr & -besteck > Kinderbesteck;1
66698;Baby > Kinderwagen & Zubehör;1
180916;Baby > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen;1
23609;Baby > Spielzeug > Badespielzeug;1
22449;Baby > Spielzeug > Holzspielzeug;1
28113;Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen > Aquarell;1
28108;Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Farbstifte & Zeichenkohle;1
47931;Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen > Herren Rasierklingen;1
11854;Beauty & Gesundheit > Haarpflege & Haarstyling;1
11863;Beauty & Gesundheit > Hautpflege;1
33164;Beauty & Gesundheit > Hautpflege > Anti-Faltenprodukte;1
36440;Beauty & Gesundheit > Hilfsmittel > Alltagshilfen > Inkontinenzhilfen;1
180501;Beauty & Gesundheit > Medikamente von Apothekern > Tiergesundheit;1
180953;Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie > Infrarot- & Wärmegeräte;1
68098;Briefmarken > Motive > Geschichte;1
260835;Business & Industrie > Elektronik & Messtechnik > Kabel & Leitungen > Kabelverbinder & Anschlussklemmen > Leitungs- & Kabelverbinder;1
78700;Business & Industrie > Großhandel & Sonderposten > Kleidung & Accessoires(Posten) > Herrenbekleidung > Unterwäsche;1
109677;Business & Industrie > Sicherheit & Gebäudeinstandhaltung > Persönliche Schutzausrüstung > Sicherheitswesten;1
261186;Bücher & Zeitschriften > Bücher;1
184644;Bücher & Zeitschriften > Fachbücher, Lernen & Nachschlagen;1
127551;Büro & Schreibwaren > Büromöbel > Schränke & Regale > Aktenschränke;1
9606;Büro & Schreibwaren > Bürotechnik > Schreibmaschinen-Zubehör;1
138910;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Papier, Hefte & Blöcke > Briefpapier & Karten;1
171961;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör;1
1245;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker;1
182094;Computer, Tablets & Netzwerk > Kabel & Steckverbinder;1
67276;Computer, Tablets & Netzwerk > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Splitter, Koppler & Adapter;1
44932;Computer, Tablets & Netzwerk > Kabel & Steckverbinder > USB-Kabel, -Hubs & -Adapter;1
23895;Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Mauspads & Handgelenkauflagen;1
116346;Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Ständer, Halter & Autohalterungen;1
163890;Filme & Serien > Film-Fanartikel > Bücher & Skripte;1
183391;Garten & Terrasse > Beleuchtung > Garten- & Terrassenfackeln;1
183393;Garten & Terrasse > Beleuchtung > Strahler & Flutlichter;1
138995;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Servierwagen;1
