id,defaultWarehouse,isExternal,description,isActive,type,defaultPriceGroup,inventoryId,createdAt,sequence,baselinker,meta,name,fiscalYear,vendorCode,updatedAt
78659,bl_109940,false,TrendOcean Mischpalette,true,,69574,78659,"{""_nanoseconds"":447000000,""_seconds"":1764986963}",,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""reservations"":true,""inventory_id"":78659,""warehouses"":[""bl_109940""],""description"":""TrendOcean Mischpalette"",""default_language"":""de"",""is_default"":true,""languages"":[""de""],""name"":""Main""}}","{""sequence"":null,""fiscalYear"":null,""vendorCode"":null}",Main,,,"{""_seconds"":1766604329,""_nanoseconds"":81000000}"
84529,bl_109940,false,TrendOcean Mischpalette,true,,69574,84529,"{""_nanoseconds"":447000000,""_seconds"":1764986963}",2,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""reservations"":true,""inventory_id"":84529,""name"":""TRO-25-02"",""warehouses"":[""bl_109940""],""description"":""TrendOcean Mischpalette"",""default_language"":""de"",""is_default"":false,""languages"":[""de""]}}","{""sequence"":2,""fiscalYear"":2025,""vendorCode"":""TRO""}",TRO-25-02,2025,TRO,"{""_seconds"":1765917154,""_nanoseconds"":957000000}"
84535,bl_109940,false,TrendOcean Mischpalette,true,,69574,84535,"{""_nanoseconds"":447000000,""_seconds"":1764986963}",3,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""reservations"":true,""inventory_id"":84535,""name"":""TRO-25-03"",""warehouses"":[""bl_109940""],""description"":""TrendOcean Mischpalette"",""default_language"":""de"",""is_default"":false,""languages"":[""de""]}}","{""sequence"":3,""fiscalYear"":2025,""vendorCode"":""TRO""}",TRO-25-03,2025,TRO,"{""_seconds"":1765917154,""_nanoseconds"":957000000}"
84850,bl_109940,false,TrendOcean Mischpalette,true,,69574,84850,"{""_nanoseconds"":447000000,""_seconds"":1764986963}",4,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""reservations"":true,""inventory_id"":84850,""name"":""TRO-25-04"",""warehouses"":[""bl_109940""],""description"":""TrendOcean Mischpalette"",""default_language"":""de"",""is_default"":false,""languages"":[""de""]}}","{""sequence"":4,""fiscalYear"":2025,""vendorCode"":""TRO""}",TRO-25-04,2025,TRO,"{""_seconds"":1765917154,""_nanoseconds"":957000000}"
85403,bl_109940,false,,true,,69574,85403,"{""_nanoseconds"":826000000,""_seconds"":1765455984}",,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""languages"":[""de""],""reservations"":true,""inventory_id"":85403,""name"":""ebay_de"",""warehouses"":[""bl_109940""],""description"":"""",""default_language"":""de"",""is_default"":false}}","{""sequence"":null,""fiscalYear"":null,""vendorCode"":null}",ebay_de,,,"{""_seconds"":1765917154,""_nanoseconds"":957000000}"
85404,bl_109940,false,,true,,69574,85404,"{""_nanoseconds"":826000000,""_seconds"":1765455984}",,"{""raw"":{""price_groups"":[69574],""default_price_group"":69574,""default_warehouse"":""bl_109940"",""languages"":[""de""],""reservations"":true,""inventory_id"":85404,""name"":""kaufland_de"",""warehouses"":[""bl_109940""],""description"":"""",""default_language"":""de"",""is_default"":false}}","{""sequence"":null,""fiscalYear"":null,""vendorCode"":null}",kaufland_de,,,"{""_seconds"":1765917154,""_nanoseconds"":957000000}"
