id,productId,inventoryId,status,message,createdAt
mBtQVKJI81s3TJSH4xyD,02591620,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765358638,""_nanoseconds"":594000000}"
mDqMUPUYaRKuKEmZSVBu,8f973329-18be-4898-aef7-5359c6b0c136,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765045586,""_nanoseconds"":89000000}"
mFjpnUZI3PCyiN4Ns6Mn,SKU-8249181407,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766342451,""_nanoseconds"":207000000}"
mJP61KvSJUtHWVr6CSab,197634001401,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 20:12:15","{""_seconds"":1765479982,""_nanoseconds"":908000000}"
mMhM1XNi9GeNgyhhygWX,8445110446065,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765751258,""_nanoseconds"":901000000}"
mMx0UpXXHnl66k2sG4XM,9014400124540,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765759263,""_nanoseconds"":809000000}"
mN8nHNdLvEi6vcupG24d,9786158181617,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:48:39","{""_seconds"":1765360030,""_nanoseconds"":37000000}"
mOwqM2JqRUzMbbT5gBBr,4550457733144,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 02:20:05","{""_seconds"":1765416008,""_nanoseconds"":233000000}"
mQIwLV49sHMTSsXqPmYq,bbb77d85-7a8f-40b4-a3e2-e8ea469fe7cb,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492351,""_nanoseconds"":764000000}"
mR0Vaqud77iUhQieQ4m7,SKU-4434702791,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766088055,""_nanoseconds"":274000000}"
mTNbhwSrZKpc92NVkPHc,4260613494504,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492302,""_nanoseconds"":715000000}"
mUKFO5hxjaqNk1DIYedD,SKU-0152828115,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766157667,""_nanoseconds"":52000000}"
mUM3HyNlhytTSboqa6af,SKU-4358173575,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766085659,""_nanoseconds"":285000000}"
mZKIVylPO3hMeeR6y9zP,SKU-1612836881,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766338081,""_nanoseconds"":320000000}"
mf0TLRNnZUFUuNpbIpZ2,9014400293437,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755861,""_nanoseconds"":412000000}"
miA2XTSS6hMMUNv5fi9G,4550457733144,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765045600,""_nanoseconds"":491000000}"
miJd7VlIAvZIhFprxLgA,4710069708958,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765044829,""_nanoseconds"":174000000}"
miv949RQHlCyPJZoZwvw,010095498867,85404,failed,ERROR_CATEGORY_ID: Invalid category identifier provided (the category does not exist).,"{""_seconds"":1765591190,""_nanoseconds"":446000000}"
mk7MhbBocnU8IjtFO3tu,2060004998275,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765714156,""_nanoseconds"":772000000}"
mlb7qpMkIBsHmJa3Sy8f,4550457733175,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765735155,""_nanoseconds"":821000000}"
