category_id,parent_id,name,breadcrumb
6530241,6527273,Fleischmann,Modellbau > Dampfmaschinen > Fleischmann
6530242,6527273,Märklin,Modellbau > Dampfmaschinen > Märklin
6530243,6527273,Sonstige,Modellbau > Dampfmaschinen > Sonstige
6530244,6527273,Wilesco,Modellbau > Dampfmaschinen > Wilesco
6527274,6526926,Modellbausätze,Modellbau > Modellbausätze
6530245,6527274,Automobile,Modellbau > Modellbausätze > Automobile
6530246,6527274,Boote & Schiffe,Modellbau > Modellbausätze > Boote & Schiffe
6530247,6527274,Dioramen,Modellbau > Modellbausätze > Dioramen
6530248,6527274,Figuren,Modellbau > Modellbausätze > Figuren
6530249,6527274,Flugzeuge,Modellbau > Modellbausätze > Flugzeuge
6530250,6527274,Gebäude,Modellbau > Modellbausätze > Gebäude
6530251,6527274,Preisführer & Kataloge,Modellbau > Modellbausätze > Preisführer & Kataloge
6530253,6527274,Raumfahrzeuge,Modellbau > Modellbausätze > Raumfahrzeuge
6530254,6527274,Sonstige,Modellbau > Modellbausätze > Sonstige
6530255,6527274,"Teile, Zubehör & Aufbewahrung","Modellbau > Modellbausätze > Teile, Zubehör & Aufbewahrung"
6535782,6530255,Sonstige,"Modellbau > Modellbausätze > Teile, Zubehör & Aufbewahrung > Sonstige"
6530257,6527274,"Werkzeuge, Zubehör & Motoren","Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren"
6535783,6530257,Abziehbilder,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Abziehbilder"
6535784,6530257,Diorama Zubehör,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Diorama Zubehör"
6535785,6530257,Ersatzteile,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Ersatzteile"
6535786,6530257,Farben,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Farben"
6535787,6530257,Figuren & Menschen,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Figuren & Menschen"
6535788,6530257,Lampen & Lichter,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Lampen & Lichter"
6535789,6530257,Landschaft & Bäume,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Landschaft & Bäume"
6535790,6530257,Motoren,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Motoren"
6535791,6530257,Werkstoffe,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkstoffe"
6535792,6530257,Werkzeuge,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge"
6539074,6535792,Airbrush,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Airbrush"
6539075,6535792,Drehen & Fräsen,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Drehen & Fräsen"
6539076,6535792,Elektrowerkzeuge,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Elektrowerkzeuge"
6539077,6535792,Handwerkzeug,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Handwerkzeug"
6539078,6535792,Messwerkzeuge,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Messwerkzeuge"
6527276,6526926,Modelleisenbahn,Modellbau > Modelleisenbahn
6530258,6527276,Gemischte Lots,Modellbau > Modelleisenbahn > Gemischte Lots
6530259,6527276,Modelleisenbahnen & Züge,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge
6535793,6530259,Gleismaterial,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Gleismaterial
6535794,6530259,Güterwagen,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Güterwagen
6535795,6530259,Lokomotiven,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Lokomotiven
6535796,6530259,Personenwagen,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Personenwagen
6535798,6530259,Sonstige,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Sonstige
6535799,6530259,Startpackungen & Zugsets,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Startpackungen & Zugsets
6535800,6530259,Teile & Zubehör,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör
6539079,6535800,Aufkleber,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Aufkleber
6539080,6535800,Ersatzteile,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Ersatzteile
6539081,6535800,Figuren,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Figuren
6539082,6535800,"Gebäude, Tunnel, Brücken","Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Gebäude, Tunnel, Brücken"
6539083,6535800,Lampen & Leuchten,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Lampen & Leuchten
6539084,6535800,Landschaftsbau,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Landschaftsbau
6539085,6535800,Leerkartons,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Leerkartons
6539086,6535800,Oberleitungen,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Oberleitungen
6539087,6535800,Signale,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Signale
6539088,6535800,Sonstige,Modellbau > Modelleisenbahn > Modelleisenbahnen & Züge > Teile & Zubehör > Sonstige
6530260,6527276,Sachbücher & Ratgeber,Modellbau > Modelleisenbahn > Sachbücher & Ratgeber
6535801,6530260,Bücher,Modellbau > Modelleisenbahn > Sachbücher & Ratgeber > Bücher
6535802,6530260,Kataloge,Modellbau > Modelleisenbahn > Sachbücher & Ratgeber > Kataloge
6535803,6530260,Sonstige,Modellbau > Modelleisenbahn > Sachbücher & Ratgeber > Sonstige
6535804,6530260,Zeitschriften,Modellbau > Modelleisenbahn > Sachbücher & Ratgeber > Zeitschriften
6530261,6527276,Sonstige,Modellbau > Modelleisenbahn > Sonstige
6530262,6527276,Steuerung,Modellbau > Modelleisenbahn > Steuerung
6535805,6530262,Boosters,Modellbau > Modelleisenbahn > Steuerung > Boosters
6535806,6530262,Decoders,Modellbau > Modelleisenbahn > Steuerung > Decoders
6535807,6530262,Digital-Konverter,Modellbau > Modelleisenbahn > Steuerung > Digital-Konverter
6535808,6530262,Digitale Steuergeräte,Modellbau > Modelleisenbahn > Steuerung > Digitale Steuergeräte
6535809,6530262,Fahrregler,Modellbau > Modelleisenbahn > Steuerung > Fahrregler
6535810,6530262,Sonstige,Modellbau > Modelleisenbahn > Steuerung > Sonstige
6535811,6530262,Steuerungszubehör,Modellbau > Modelleisenbahn > Steuerung > Steuerungszubehör
6535812,6530262,Trafos,Modellbau > Modelleisenbahn > Steuerung > Trafos
6530263,6527276,Vitrinen & Aufbewahrung,Modellbau > Modelleisenbahn > Vitrinen & Aufbewahrung
6527277,6526926,RC-Modellbau,Modellbau > RC-Modellbau
6530264,6527277,Fesselflugzeuge & Freiflug,Modellbau > RC-Modellbau > Fesselflugzeuge & Freiflug
6530265,6527277,Flugsimulatoren,Modellbau > RC-Modellbau > Flugsimulatoren
6530266,6527277,RC Modellbau Teile & Zubehör,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör
6535813,6530266,"Chassis, Antrieb & Räder","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder"
6539089,6535813,Antriebstle./Kupplung/Getriebe,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Antriebstle./Kupplung/Getriebe"
6539090,6535813,Bremsenteile,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Bremsenteile"
6539091,6535813,"Chassis Platten, Rahmen & Sets","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Chassis Platten, Rahmen & Sets"
6539092,6535813,Federungs- & Lenkungsteile,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Federungs- & Lenkungsteile"
6539093,6535813,Räder/Reifen & Felgen/Radnaben,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Räder/Reifen & Felgen/Radnaben"
6539094,6535813,Sonstige,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Chassis, Antrieb & Räder > Sonstige"
6535814,6530266,Fernsteuerung & Elektronik,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik
6539095,6535814,Akkuhalterungen & -deckel,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Akkuhalterungen & -deckel
6539096,6535814,Akkus,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Akkus
6539097,6535814,Antennen,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Antennen
6539098,6535814,Beleuchtung & Lämpchen,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Beleuchtung & Lämpchen
6539099,6535814,ESCs/Fahrten- & Flugregler,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > ESCs/Fahrten- & Flugregler
6539100,6535814,Flight Recorder & Telemetrie,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Flight Recorder & Telemetrie
6539101,6535814,Flugsteuerungen & Gyroskope,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Flugsteuerungen & Gyroskope
6539102,6535814,Ladegeräte,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Ladegeräte
6539103,6535814,Platinen & Module,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Platinen & Module
6539104,6535814,Sender & Empfänger,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Sender & Empfänger
6539105,6535814,Servos & Servo-Zubehör,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Servos & Servo-Zubehör
6539106,6535814,Sonstige,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Sonstige
6539107,6535814,"Stecker, Schalter & Kabel","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik > Stecker, Schalter & Kabel"
6535815,6530266,Karosserie- & Innenraumteile,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile
6539108,6535815,Autos & Motorräder,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Autos & Motorräder
6539109,6535815,Flugzeuge,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Flugzeuge
6539110,6535815,Hubschrauber,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Hubschrauber
6539111,6535815,Kettenfahrzeuge,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Kettenfahrzeuge
6539112,6535815,LKW & Industriefahrzeuge,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > LKW & Industriefahrzeuge
6539113,6535815,Quadrocopter & Multicopter,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Quadrocopter & Multicopter
6539114,6535815,Schiffe & Wasserfahrzeuge,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Schiffe & Wasserfahrzeuge
6539115,6535815,Sonstige Fahrzeuge,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Karosserie- & Innenraumteile > Sonstige Fahrzeuge
6535816,6530266,"Klebstoffe, Farben, Veredelung","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Klebstoffe, Farben, Veredelung"
6535817,6530266,"Motor, Kraftstoff- & Abgasanl.","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl."
6539116,6535817,Auspuffanlagen & Schalldämpfer,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Auspuffanlagen & Schalldämpfer"
6539117,6535817,Elektromotoren,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Elektromotoren"
6539118,6535817,Kraftstoffversorgung & Zubehör,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Kraftstoffversorgung & Zubehör"
6539119,6535817,Motorteile & -zubehör,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Motorteile & -zubehör"
6539120,6535817,"Öle, Schmiermittel & Wartung","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Öle, Schmiermittel & Wartung"
6539121,6535817,Sonstige,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Sonstige"
6539122,6535817,Verbrennungsmotoren,"Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Verbrennungsmotoren"
6539123,6535817,"Zündung, Glüh- & Zündkerzen","Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Motor, Kraftstoff- & Abgasanl. > Zündung, Glüh- & Zündkerzen"
6535818,6530266,RC Baupläne & Handbücher,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > RC Baupläne & Handbücher
6535819,6530266,RC Baustoffe & Materialien,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > RC Baustoffe & Materialien
6535820,6530266,RC Eisenwaren & Befestigungen,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > RC Eisenwaren & Befestigungen
6535821,6530266,RC Werkzeuge & Werkzeugsets,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > RC Werkzeuge & Werkzeugsets
6535822,6530266,Sonstige,Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Sonstige
6530267,6527277,RC Modelle & Bausätze,Modellbau > RC-Modellbau > RC Modelle & Bausätze
6535823,6530267,Autos & Motorräder,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Autos & Motorräder
6535824,6530267,Flugzeuge,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Flugzeuge
6535825,6530267,Hubschrauber,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Hubschrauber
6535826,6530267,Kettenfahrzeuge,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Kettenfahrzeuge
6535827,6530267,LKW & Industriefahrzeuge,Modellbau > RC-Modellbau > RC Modelle & Bausätze > LKW & Industriefahrzeuge
6535828,6530267,Quadrocopter & Multicopter,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Quadrocopter & Multicopter
6535829,6530267,Schiffe & Wasserfahrzeuge,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Schiffe & Wasserfahrzeuge
6535830,6530267,Sonstige RC Modelle & Bausätze,Modellbau > RC-Modellbau > RC Modelle & Bausätze > Sonstige RC Modelle & Bausätze
6530268,6527277,Sonstige,Modellbau > RC-Modellbau > Sonstige
