id,name,url,parentId,parentUrl,path
6,HiFi & Audio,https://www.hood.de/hifi-audio,410,https://www.hood.de/hifi-audio/mp3-player,"MP3-Player, günstig kaufen bei Hood.de > HiFi & Audio"
7,Bandmaschinen,https://www.hood.de/hifi-audio/raritaeten/bandmaschinen,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Bandmaschinen"
55,Mixer,https://www.hood.de/hifi-audio/dj-event-equipment/mixer,26889,https://www.hood.de/hifi-audio/dj-event-equipment/dj-sets,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > DJ- & Event-Equipment > dj-sets > Mixer"
76,Turntables,https://www.hood.de/hifi-audio/dj-event-equipment/turntables,26889,https://www.hood.de/hifi-audio/dj-event-equipment/dj-sets,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > DJ- & Event-Equipment > dj-sets > Turntables"
85,Sonstiges,https://www.hood.de/hifi-audio/dj-event-equipment/sonstiges,26889,https://www.hood.de/hifi-audio/dj-event-equipment/dj-sets,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > DJ- & Event-Equipment > dj-sets > Sonstiges"
86,Raritäten,https://www.hood.de/hifi-audio/raritaeten,410,https://www.hood.de/hifi-audio/mp3-player,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten"
88,Mikrofone,https://www.hood.de/hifi-audio/raritaeten/mikrofone,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Mikrofone"
90,Plattenspieler,https://www.hood.de/hifi-audio/raritaeten/plattenspieler,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Plattenspieler"
92,Radios,https://www.hood.de/hifi-audio/raritaeten/radios,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Radios"
93,Receiver,https://www.hood.de/hifi-audio/raritaeten/receiver,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Receiver"
95,Verstärker,https://www.hood.de/hifi-audio/raritaeten/verstaerker,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Verstärker"
96,Sonstige,https://www.hood.de/hifi-audio/raritaeten/sonstige,86,https://www.hood.de/hifi-audio/raritaeten,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > Raritäten > Sonstige"
97,HiFi-Zubehör,https://www.hood.de/hifi-audio/hifi-zubehoer,410,https://www.hood.de/hifi-audio/mp3-player,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > HiFi-Zubehör"
98,Adapter,https://www.hood.de/hifi-audio/hifi-zubehoer/adapter,123,https://www.hood.de/hifi-audio/hifi-zubehoer/sonstige,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > HiFi-Zubehör > Verschiedenes HiFi-Zubehör, günstig kaufen bei Hood.de > Adapter"
99,Bedienungsanleitungen & Schaltpläne,https://www.hood.de/hifi-audio/hifi-zubehoer/bedienungsanleitungen-schaltplaene,123,https://www.hood.de/hifi-audio/hifi-zubehoer/sonstige,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > HiFi-Zubehör > Verschiedenes HiFi-Zubehör, günstig kaufen bei Hood.de > Bedienungsanleitungen & Schaltpläne"
100,Antennen,https://www.hood.de/hifi-audio/hifi-zubehoer/antennen,123,https://www.hood.de/hifi-audio/hifi-zubehoer/sonstige,"HiFi & Audio > MP3-Player, günstig kaufen bei Hood.de > HiFi-Zubehör > Verschiedenes HiFi-Zubehör, günstig kaufen bei Hood.de > Antennen"
