bl_product_id;bl_sku;bl_name;bl_manufacturer;avy_product_id;avy_sku;avy_name;avy_brand;match_source;title_match;brand_match
492851071;SKU-7514362439;Philips Heißluftfritteuse RapidAir Plus 6.2L;Philips;8720389034565;SKU-7514362439;Philips Heißluftfritteuse RapidAir Plus 6.2L;Philips;ops.product_id;yes;yes
492851140;SKU-5561398463;Alberomio Wickelauflage PT70;Alberomio;5902605478275;SKU-5561398463;Alberomio Wickelauflage PT70;Alberomio;ops.product_id;yes;yes
492851206;SKU-0780623565;TAN.TOMI Hartschalenkoffer BOD17R89GL 27cm 65 Liter Unisex Gr. L ABS 65L;TAN.TOMI;8c326f7a-d1df-447c-ab0c-c39d136ac565;SKU-0780623565;TAN.TOMI Hartschalenkoffer BOD17R89GL 27cm 65 Liter Unisex Gr. L ABS 65L;TAN.TOMI;ops.product_id;yes;yes
492851312;SKU-0026867017;LESBJFDM Tattoo Armlehne;LESBJFDM;9598aed7-fe7a-426e-afcc-08ca0d925270;SKU-0026867017;LESBJFDM Tattoo Armlehne;LESBJFDM;ops.product_id;yes;yes
492851385;SKU-2002593737;LEVEL8 Koffer Luminous 44cm 65 Liter Unisex 65L Schwarz;LEVEL8;a2ad1a25-85f0-4206-ba2d-f718e75b5942;SKU-2002593737;LEVEL8 Koffer Luminous 44cm 65 Liter Unisex 65L Schwarz;LEVEL8;ops.product_id;yes;yes
492851460;SKU-2215132526;ELOMACKE Trolley Koffer SZABS 026 UnisexErwachsene Gr. 54cm ABS Orange;ELOMACKE;d7360291-deb4-4b2b-8251-b756f2572c94;SKU-2215132526;ELOMACKE Trolley Koffer SZABS 026 UnisexErwachsene Gr. 54cm ABS Orange;ELOMACKE;ops.product_id;yes;yes
492851509;SKU-5047615558;Sunlu F-SL-PLA-PLA+-BK-5-S-AE 3D Drucker Filament 1.75mm 5kg Schwarz;SUNLU;ddf71447-e7dd-4f92-afa1-9fc1b7fad114;SKU-5047615558;Sunlu F-SL-PLA-PLA+-BK-5-S-AE 3D Drucker Filament 1.75mm 5kg Schwarz;Sunlu;ops.product_id;yes;yes
492851519;SKU-6536943755;ANYCUBIC 3D Drucker Filament IPHHSBW-106 High Speed PLA 1.75mm Weiß;ANYCUBIC;f19c6d73-628b-424c-9d89-d950ebafb74b;SKU-6536943755;ANYCUBIC 3D Drucker Filament IPHHSBW-106 High Speed PLA 1.75mm Weiß;ANYCUBIC;ops.product_id;yes;yes
493965028;SKU-0167269441;PME Legend Herren Cargohose olive night Baumwolle Elasthan PTR2408602-6416;PME Legend;8720672457576;SKU-0167269441;PME Legend Herren Cargohose olive night Baumwolle Elasthan PTR2408602-6416;PME Legend;ops.product_id;yes;yes
493965240;SKU-0231755176;PME Legend Cargohose PTR2408602-6416 Herren 98% Baumwolle 2% Elasthan;PME Legend;8720672457651;SKU-0231755176;PME Legend Cargohose PTR2408602-6416 Herren 98% Baumwolle 2% Elasthan;PME Legend;ops.product_id;yes;yes
