id_category,DE_level_1_title_category,DE_level_2_title_category,DE_level_3_title_category,DE_level_4_title_category,DE_level_5_title_category,DE_level_6_title_category,DE_level_7_title_category,DE_level_8_title_category,DE_level_9_title_category,ENG_level_1_title_category,ENG_level_2_title_category,ENG_level_3_title_category,ENG_level_4_title_category,ENG_level_5_title_category,ENG_level_6_title_category,ENG_level_7_title_category,ENG_level_8_title_category,ENG_level_9_title_category,CZ_level_1_title_category,CZ_level_2_title_category,CZ_level_3_title_category,CZ_level_4_title_category,CZ_level_5_title_category,CZ_level_6_title_category,CZ_level_7_title_category,CZ_level_8_title_category,CZ_level_9_title_category,SK_level_1_title_category,SK_level_2_title_category,SK_level_3_title_category,SK_level_4_title_category,SK_level_5_title_category,SK_level_6_title_category,SK_level_7_title_category,SK_level_8_title_category,SK_level_9_title_category,PL_level_1_title_category,PL_level_2_title_category,PL_level_3_title_category,PL_level_4_title_category,PL_level_5_title_category,PL_level_6_title_category,PL_level_7_title_category,PL_level_8_title_category,PL_level_9_title_category,FR_level_1_title_category,FR_level_2_title_category,FR_level_3_title_category,FR_level_4_title_category,FR_level_5_title_category,FR_level_6_title_category,FR_level_7_title_category,FR_level_8_title_category,FR_level_9_title_category,IT_level_1_title_category,IT_level_2_title_category,IT_level_3_title_category,IT_level_4_title_category,IT_level_5_title_category,IT_level_6_title_category,IT_level_7_title_category,IT_level_8_title_category,IT_level_9_title_category
24671,Mode & Accessoires,Schuhe & Zubehör,Schuhe,Sandalen,Klassische Sandalen,,,,,Fashion & accessories,Shoes & accessories,Shoes,Sandals,Classic sandals,,,,,Móda a doplňky,Obuv a příslušenství,Boty,Sandály,Klasické sandály,,,,,Móda a doplnky,Obuv a príslušenstvo,Obuv,Sandále,Klasické sandále,,,,,Moda i akcesoria,Buty i akcesoria,Buty,Sandały,Sandały klasyczne,,,,,Mode et accessoires,Chaussures et accessoires,Chaussures,Sandales,Sandales classiques,,,,,Moda e accessori,Scarpe e accessori,Scarpe,Sandali,Sandali classici,,,,
24691,Mode & Accessoires,Schuhe & Zubehör,Schuhe,Sandalen,Zehentrennersandalen,,,,,Fashion & accessories,Shoes & accessories,Shoes,Sandals,Flip flops,,,,,Móda a doplňky,Obuv a příslušenství,Boty,Sandály,Žabky,,,,,Móda a doplnky,Obuv a príslušenstvo,Obuv,Sandále,Sandále s oddeleným palcom,,,,,Moda i akcesoria,Buty i akcesoria,Buty,Sandały,Sandały japonki,,,,,Mode et accessoires,Chaussures et accessoires,Chaussures,Sandales,Sandales entredoigts,,,,,Moda e accessori,Scarpe e accessori,Scarpe,Sandali,Sandali infradito,,,,
24991,Mode & Accessoires,Schuhe & Zubehör,Schuhe,Hausschuhe,,,,,,Fashion & accessories,Shoes & accessories,Shoes,Slippers,,,,,,Móda a doplňky,Obuv a příslušenství,Boty,Domácí obuv & papuče & bačkory,,,,,,Móda a doplnky,Obuv a príslušenstvo,Obuv,Papuče,,,,,,Moda i akcesoria,Buty i akcesoria,Buty,Kapcie,,,,,,Mode et accessoires,Chaussures et accessoires,Chaussures,Chaussons,,,,,,Moda e accessori,Scarpe e accessori,Scarpe,Pantofole,,,,,
25041,Mode & Accessoires,Schuhe & Zubehör,Schuhe,Slipper & Loafer,,,,,,Fashion & accessories,Shoes & accessories,Shoes,Slippers & loafers,,,,,,Móda a doplňky,Obuv a příslušenství,Boty,Loafers & Nazouvací boty,,,,,,Móda a doplnky,Obuv a príslušenstvo,Obuv,Slip-on topánky,,,,,,Moda i akcesoria,Buty i akcesoria,Buty,Loafersy i buty wsuwane,,,,,,Mode et accessoires,Chaussures et accessoires,Chaussures,Mocassins et chaussures sans lacets,,,,,,Moda e accessori,Scarpe e accessori,Scarpe,Slipper e mocassini,,,,,
24261,Mode & Accessoires,Schuhe & Zubehör,Schuhe,Sneaker,,,,,,Fashion & accessories,Shoes & accessories,Shoes,Trainers,,,,,,Móda a doplňky,Obuv a příslušenství,Boty,Tenisky,,,,,,Móda a doplnky,Obuv a príslušenstvo,Obuv,Tenisky,,,,,,Moda i akcesoria,Buty i akcesoria,Buty,Sneakersy ,,,,,,Mode et accessoires,Chaussures et accessoires,Chaussures,Baskets,,,,,,Moda e accessori,Scarpe e accessori,Scarpe,Scarpe da ginnastica,,,,,
68972,Lebensmittel,,,,,,,,,Food,,,,,,,,,Potraviny,,,,,,,,,Potraviny,,,,,,,,,Żywność,,,,,,,,,Alimentation,,,,,,,,,Generi alimentari,,,,,,,,
1311,Lebensmittel,,,,,,,,,Food,,,,,,,,,Potraviny,,,,,,,,,Potraviny,,,,,,,,,Żywność,,,,,,,,,Alimentation,,,,,,,,,Generi alimentari,,,,,,,,
69194,Lebensmittel,Backwaren,,,,,,,,Food,Baked goods,,,,,,,,Potraviny,Pečivo,,,,,,,,Potraviny,Pekárenské výrobky,,,,,,,,Żywność,Pieczywo,,,,,,,,Alimentation,Produits de boulangerie,,,,,,,,Generi alimentari,Prodotti da forno,,,,,,,
56111,Lebensmittel,Backwaren,,,,,,,,Food,Baked goods,,,,,,,,Potraviny,Pečivo,,,,,,,,Potraviny,Pekárenské výrobky,,,,,,,,Żywność,Pieczywo,,,,,,,,Alimentation,Produits de boulangerie,,,,,,,,Generi alimentari,Prodotti da forno,,,,,,,
1331,Lebensmittel,Backwaren,,,,,,,,Food,Baked goods,,,,,,,,Potraviny,Pečivo,,,,,,,,Potraviny,Pekárenské výrobky,,,,,,,,Żywność,Pieczywo,,,,,,,,Alimentation,Produits de boulangerie,,,,,,,,Generi alimentari,Prodotti da forno,,,,,,,
1611,Lebensmittel,Backwaren,Brote,,,,,,,Food,Baked goods,Breads,,,,,,,Potraviny,Pečivo,Chléb,,,,,,,Potraviny,Pekárenské výrobky,Chleby,,,,,,,Żywność,Pieczywo,Chleby,,,,,,,Alimentation,Produits de boulangerie,Pains,,,,,,,Generi alimentari,Prodotti da forno,Pane,,,,,,
1661,Lebensmittel,Backwaren,Kuchen,,,,,,,Food,Baked goods,Cakes,,,,,,,Potraviny,Pečivo,Bábovky,,,,,,,Potraviny,Pekárenské výrobky,Koláče,,,,,,,Żywność,Pieczywo,Ciasta,,,,,,,Alimentation,Produits de boulangerie,Gâteaux,,,,,,,Generi alimentari,Prodotti da forno,Dolci da forno,,,,,,
44911,Lebensmittel,Backwaren,Sonstige Backwaren,,,,,,,Food,Baked goods,Miscellaneous baked goods,,,,,,,Potraviny,Pečivo,Jiné sladké pečivo,,,,,,,Potraviny,Pekárenské výrobky,Iné sladké pečivo,,,,,,,Żywność,Pieczywo,Pozostałe z kategorii Pieczywo,,,,,,,Alimentation,Produits de boulangerie,Autres produits de boulangerie,,,,,,,Generi alimentari,Prodotti da forno,Altri prodotti da forno,,,,,,
1641,Lebensmittel,Backwaren,Muffins,,,,,,,Food,Baked goods,Muffins,,,,,,,Potraviny,Pečivo,Muffiny,,,,,,,Potraviny,Pekárenské výrobky,Mafiny,,,,,,,Żywność,Pieczywo,Muffiny,,,,,,,Alimentation,Produits de boulangerie,Muffins,,,,,,,Generi alimentari,Prodotti da forno,Muffin,,,,,,
1671,Lebensmittel,Backwaren,Torten,,,,,,,Food,Baked goods,Pies,,,,,,,Potraviny,Pečivo,Dorty,,,,,,,Potraviny,Pekárenské výrobky,Torty,,,,,,,Żywność,Pieczywo,Torty,,,,,,,Alimentation,Produits de boulangerie,Gâteaux de fête,,,,,,,Generi alimentari,Prodotti da forno,Torte,,,,,,
1621,Lebensmittel,Backwaren,Brötchen,,,,,,,Food,Baked goods,Rolls,,,,,,,Potraviny,Pečivo,Housky,,,,,,,Potraviny,Pekárenské výrobky,Chlebíčky,,,,,,,Żywność,Pieczywo,Bułki,,,,,,,Alimentation,Produits de boulangerie,Petits pains,,,,,,,Generi alimentari,Prodotti da forno,Panini,,,,,,
1631,Lebensmittel,Backwaren,Waffeln,,,,,,,Food,Baked goods,Waffles,,,,,,,Potraviny,Pečivo,Vafle,,,,,,,Potraviny,Pekárenské výrobky,Vafle,,,,,,,Żywność,Pieczywo,Wafle i gofry,,,,,,,Alimentation,Produits de boulangerie,Gaufres,,,,,,,Generi alimentari,Prodotti da forno,Cialde,,,,,,
1411,Lebensmittel,Getränke,,,,,,,,Food,Beverages,,,,,,,,Potraviny,Nápoje,,,,,,,,Potraviny,Nápoje,,,,,,,,Żywność,Napoje,,,,,,,,Alimentation,Boissons,,,,,,,,Generi alimentari,Bevande,,,,,,,
68970,Lebensmittel,Getränke,Alkoholische Getränke,,,,,,,Food,Beverages,Alcoholic beverages,,,,,,,Potraviny,Nápoje,Alkoholické nápoje,,,,,,,Potraviny,Nápoje,Alkoholické nápoje,,,,,,,Żywność,Napoje,Napoje alkoholowe,,,,,,,Alimentation,Boissons,Boissons alcoolisées,,,,,,,Generi alimentari,Bevande,Bevande alcoliche,,,,,,
2551,Lebensmittel,Getränke,Alkoholische Getränke,Bier,,,,,,Food,Beverages,Alcoholic beverages,Beers,,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,,,,,,Żywność,Napoje,Napoje alkoholowe,Piwa,,,,,,Alimentation,Boissons,Boissons alcoolisées,Bières,,,,,,Generi alimentari,Bevande,Bevande alcoliche,Birre,,,,,
69137,Lebensmittel,Getränke,Alkoholische Getränke,Bier,Altbier,,,,,Food,Beverages,Alcoholic beverages,Beers,Altbier,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Stařené pivo,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Altbier,,,,,Żywność,Napoje,Napoje alkoholowe,Piwa,Piwa Altbier,,,,,Alimentation,Boissons,Boissons alcoolisées,Bières,Bières à l’ancienne,,,,,Generi alimentari,Bevande,Bevande alcoliche,Birre,Altbier,,,,
69084,Lebensmittel,Getränke,Alkoholische Getränke,Bier,Craft Beer,,,,,Food,Beverages,Alcoholic beverages,Beers,Craft beers,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Craft Beer,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Remeselné pivo,,,,,Żywność,Napoje,Napoje alkoholowe,Piwa,Piwo kraftowe,,,,,Alimentation,Boissons,Boissons alcoolisées,Bières,Bières artisanales,,,,,Generi alimentari,Bevande,Bevande alcoliche,Birre,Birre artigianali,,,,
69134,Lebensmittel,Getränke,Alkoholische Getränke,Bier,Dunkelbier,,,,,Food,Beverages,Alcoholic beverages,Beers,Dark beer,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Tmavé pivo,,,,,Potraviny,Nápoje,Alkoholické nápoje,Pivo,Tmavé pivo,,,,,Żywność,Napoje,Napoje alkoholowe,Piwa,Piwa ciemne,,,,,Alimentation,Boissons,Boissons alcoolisées,Bières,Bières brunes,,,,,Generi alimentari,Bevande,Bevande alcoliche,Birre,Birre scure,,,,
