id,sku,last_saved_source,issues,title_len,desc_len,features,attrs,category
SKU-9787450821,SKU-9787450821,category-review-csv,highlights_too_few,77,919,0,15,Haushaltsgeräte > Kleingeräte Küche > Nudelmaschinen
SKU-9834509499,SKU-9834509499,title-normalize,highlights_too_few,77,787,0,14,Möbel & Wohnen > Kindermöbel & Wohnen > Badzubehör & -textilien
a52ad537-120e-426d-9887-f873d36bcdaa,SKU-3264592188,ui,category_not_breadcrumb,76,741,6,10,Fahrradzubehör
ab8921aa-074a-4d89-beb7-b4236133851e,SKU-8463577445,script-condition-normalize,description_too_short,78,227,7,21,Heimwerker > Elektromaterial > LED Streifen
ad08f46f-d233-4c4f-b5c5-bc803ce5018e,SKU-5748131128,ui,description_too_short,78,177,6,7,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk
b17bc8c9-7097-40af-ba51-02491a3cb01e,SKU-8799542495,ui,title_too_short,65,725,6,14,Kostüme & Verkleidungen > Kinderkostüme
b82f2e03-f4e9-4cef-8984-364a6a8cfc8e,SKU-3350934915,category-review-csv,description_too_short,73,179,6,27,Garten & Terrasse > Beleuchtung > Garten- & Terrassenfackeln
c02f6527-8651-429c-8022-31eb90f6aaaa,SKU-0716100821,category-review-csv,description_missing,78,0,7,15,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme"
e29c131f-ec89-434c-b216-90f28330918d,SKU-6854747447,category-review-csv,description_missing,70,0,7,26,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör"
e73c69ce-6582-4454-adab-52b418a775d0,SKU-5599844775,script-condition-normalize,description_too_short,80,225,6,16,Spielzeug > Lernspielzeug
ea75ec18-8ebd-4623-8b72-bdc796af7bfb,SKU-1536365981,category-review-csv,description_too_short,72,161,6,12,Möbel & Wohnen > Kochen & Genießen > Backbleche & -formen
