root,leaf,group_count,max_parent_similarity,category_id,breadcrumb,parent_context
Kleidung & Accessoires,Jeans,3,0.5,6488364,Kleidung & Accessoires > Hosen > Jeans,Kleidung & Accessoires > Hosen
Kleidung & Accessoires,T-Shirts,3,0.5,6407533,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > T-Shirts,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden
Kleidung & Accessoires,T-Shirts,3,0.5,6406957,Kleidung & Accessoires > Herrenmode > T-Shirts,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,T-Shirts,3,0.5,6488405,Kleidung & Accessoires > Shirts > T-Shirts,Kleidung & Accessoires > Shirts
Sport,Bekleidung,3,0.25,6407421,Sport > Camping & Outdoor > Bekleidung,Sport > Camping & Outdoor
Sport,Bekleidung,3,0.25,6407555,Sport > Fitness & Jogging > Bekleidung,Sport > Fitness & Jogging
Sport,Bekleidung,3,0.25,6407487,Sport > Wintersport > Bekleidung,Sport > Wintersport
Kleidung & Accessoires,Shirts & Hemden,2,0.75,6407530,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden,Kleidung & Accessoires > Herren > Herrenmode
Kleidung & Accessoires,Shirts & Hemden,2,0.75,6488315,Kleidung & Accessoires > Herrenmode > Shirts & Hemden,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,Damen-Accessoires,2,0.667,6407525,Kleidung & Accessoires > Damen > Damen-Accessoires,Kleidung & Accessoires > Damen
Kleidung & Accessoires,Damen-Accessoires,2,0.667,6418474,Kleidung & Accessoires > Damen-Accessoires,Kleidung & Accessoires
Kleidung & Accessoires,Damenmode,2,0.667,6467276,Kleidung & Accessoires > Damen > Damenmode,Kleidung & Accessoires > Damen
Kleidung & Accessoires,Damenmode,2,0.667,6406948,Kleidung & Accessoires > Damenmode,Kleidung & Accessoires
Garten & Terrasse,Grillzubehör,2,0.667,6407234,"Garten & Terrasse > Grills, Heizstrahler & Picknick > Grillzubehör","Garten & Terrasse > Grills, Heizstrahler & Picknick"
Garten & Terrasse,Grillzubehör,2,0.667,6406863,"Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör","Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör"
Kleidung & Accessoires,Hemden,2,0.667,6488167,Kleidung & Accessoires > Hemden,Kleidung & Accessoires
Kleidung & Accessoires,Hemden,2,0.667,6407319,Kleidung & Accessoires > Herrenmode > Hemden,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,Herren-Accessoires,2,0.667,6407307,Kleidung & Accessoires > Herren > Herren-Accessoires,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Herren-Accessoires,2,0.667,6406952,Kleidung & Accessoires > Herren-Accessoires,Kleidung & Accessoires
Kleidung & Accessoires,Herrenmode,2,0.667,6406951,Kleidung & Accessoires > Herren > Herrenmode,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Herrenmode,2,0.667,6406954,Kleidung & Accessoires > Herrenmode,Kleidung & Accessoires
Beauty & Gesundheit,Körperpflege,2,0.667,6407181,Beauty & Gesundheit > Hautpflege > Körperpflege,Beauty & Gesundheit > Hautpflege
