category_id,breadcrumb,ebay_category_id
6561871,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Kompletträder,73725
6561872,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Reifen,73720
6556153,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Sonstige,73724
6551524,Auto & Motorrad: Teile > Auto-Motorsport > Sonstige,73728
6551094,Auto & Motorrad: Teile > Auto-Tuning & -Styling,107059
6551525,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik,133191
6556154,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Anlasser verstärkt,180412
6556155,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterie-/Trennschalter,180409
6556156,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterien,180410
6556158,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Kabel & Drähte,180415
6556159,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Lichtmaschinen,180408
6556160,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Schalter & Relais,180413
6556162,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sicherungen,180411
6556164,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sonstige,180416
6556165,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Terminals & Anschlüsse,180414
6551526,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning,171112
6556166,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Drehzahlbegrenzer,180455
6556167,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Haubenlift,180445
6556168,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Kabel-Sets,133194
6556169,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Motorhalter verstärkt,180443
6556170,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Nockenwellenräder & Teile,180456
6556171,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öl-Auffangbehälter,180450
6556172,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öldeckel,180451
6556173,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Ölpumpe,180453
6556174,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Radlager verstärkt,180444
6556175,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sonstige,107063
6556176,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Chip,133193
6556177,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Dichtungen & Ringe,175564
6556178,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Kolbenringe,175565
6556179,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Kurbelwellen,175560
6556180,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Motoren,171113
6556181,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Nockenwellen,175558
6556182,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Pleuel & Teile,175559
6556183,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Zylinderköpfe,175561
6556184,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Steuergeräte,180449
6556185,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Tuning Ölfilter,180452
6556186,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Tuning Software,173651
6556187,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Turboschläuche & Teile,180446
6556188,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Ventile, Ventilfeder & Sets",175567
6556189,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Wannen,180454
6556190,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Zahnriemen,180447
6556191,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Zylinderkopfschrauben,180448
6551527,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile,175607
6556192,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Auspuffanlagen,180490
6556193,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Batterien,180483
6556207,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Batterien,180483
6556208,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Bremsenteile,180486
6556210,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Fahrwerke & Rahmen,180485
6556213,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Ketten, Ritzel & Kupplungen",180487
6556214,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Kraftstoffversorgung,180491
6556215,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Kühlung,180488
