category_id,breadcrumb
6552450,Computer > 3D-Drucker & Zubehör > 3D-Scanner Teile
6552451,Computer > 3D-Drucker & Zubehör > 3D-Scanner Zubehör
6552452,Computer > 3D-Drucker & Zubehör > Schädlingsbekämpfung
6558939,Computer > 3D-Drucker & Zubehör > Schädlingsbekämpfung > Sonstige
6551200,Computer > Computer-Klassiker & Zubehör
6552453,Computer > Computer-Klassiker & Zubehör > Computer-Klassiker
6552454,Computer > Computer-Klassiker & Zubehör > Handbücher & Merchandising
6552455,Computer > Computer-Klassiker & Zubehör > Sonstige
6552456,Computer > Computer-Klassiker & Zubehör > Teile & Zubehör
6551201,Computer > Computer-Komponenten & -Teile
6552457,Computer > Computer-Komponenten & -Teile > Arbeitsspeicher (RAM)
6552458,Computer > Computer-Komponenten & -Teile > Computergehäuse & Zubehör
6558940,Computer > Computer-Komponenten & -Teile > Computergehäuse & Zubehör > Computergehäuse
6558941,Computer > Computer-Komponenten & -Teile > Computergehäuse & Zubehör > Gehäuseteile & Zubehör
6552459,Computer > Computer-Komponenten & -Teile > CPUs/Prozessoren
6552460,Computer > Computer-Komponenten & -Teile > Grafik-/Videokarten
6552461,Computer > Computer-Komponenten & -Teile > Interne Soundkarten
6552462,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung"
6558942,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > CPU-Lüfter & Kühlkörper"
6558943,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Festplattenkühlung"
6558944,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Gehäuselüfter"
6558945,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Lüfter, Kühlkörperhalter & Zubehör"
6558946,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Lüftergitter & Filter"
6558947,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Sonstige"
6558948,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Speicher- & Chipsatz-Kühlung"
6558949,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Videokarten- & GPU-Kühlung"
6558950,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Wärmeleitpasten & Zubehör"
6558951,"Computer > Computer-Komponenten & -Teile > Lüfter, Kühlkörper & Kühlung > Wasserkühlung"
6552463,Computer > Computer-Komponenten & -Teile > Mainboard & CPU-Kombination
6552464,Computer > Computer-Komponenten & -Teile > Mainboard-Komponenten & Zubehör
6558952,Computer > Computer-Komponenten & -Teile > Mainboard-Komponenten & Zubehör > Mainboard-Backplates
6558953,Computer > Computer-Komponenten & -Teile > Mainboard-Komponenten & Zubehör > Mainboard-Diagnosekarten
6558954,Computer > Computer-Komponenten & -Teile > Mainboard-Komponenten & Zubehör > Mainboard-Komponenten
6558955,Computer > Computer-Komponenten & -Teile > Mainboard-Komponenten & Zubehör > Sonstige
6552465,Computer > Computer-Komponenten & -Teile > Mainboards
6552466,Computer > Computer-Komponenten & -Teile > Netzteile
6552467,Computer > Computer-Komponenten & -Teile > Netzteile-Tester
6552468,Computer > Computer-Komponenten & -Teile > Notebook-Ersatzteile
