id;auftrag_id;carrier;tracking;status;erstellt_am
Z7sLH5qZuChksMMy9mIF;ebay__12-14586-97434;DPD;;problem;2026-05-04T10:56:20.112Z
Z8uphCdzLw8LOjSMiBij;ebay__11-14720-17378;dp;A0062B01C50000000AFD;Delivered;2026-06-03T14:25:26.793Z
Z9uUrx6KhHCIAWZ5Tu72;ebay__20-14581-72155;dpd;01596813747820;Delivered;2026-05-06T13:18:02.281Z
ZEX44a8AYXJU82E0h1Sh;kaufland__MZGD4Q5;dhl_de;00340434887954500691;Delivered;2026-04-08T14:24:30.432Z
ZGKydUD6Pc08VdtW88iU;kaufland__M4Y3S55;dp;A0062B01C5000000025C;Delivered;2026-04-23T13:02:28.511Z
ZJ3BvaMMEsGmfmKokMV1;ebay__12-14604-21056;dp;A0062B01C500000007BB;Delivered;2026-05-08T12:21:39.410Z
ZQdSZ5D4H1IoOWY44nj6;ebay__26-14510-74302;dpd;01596812892355;Delivered;2026-04-21T16:45:25.299Z
ZS9Cghwgoi9gT9Be4KW0;kaufland__MCZZEB5;dp;A0062B01C50000000557;Delivered;2026-05-03T08:55:26.083Z
ZarTsqnvzK66py0dAUyC;ebay__20-14736-47038;DPD;01596815684567;ausstehend;2026-06-11T15:29:56.655Z
ZjCiYJytzEAFLfJZVGTR;30888132;dpd;01596818855045;Delivered;2026-03-10T01:05:03.525Z
ZtjLBD9vaWB1lg1iJpiF;ebay__05-14668-32204;DHL;;problem;2026-05-20T11:37:25.792Z
ZtjnNnrKQoAL2KiiH4ek;ebay__23-14535-42721;dp;A0062B01C50000000387;Delivered;2026-04-27T10:10:55.174Z
a2y35CYC9eCxKEEaARfj;kaufland__M9HHUB5;dhl_de;00340434887954500806;Delivered;2026-04-30T16:20:32.981Z
aKPJuWhofC9SOyvo2hjA;31971005;dhl_de;00340433917162400016;Delivered;2026-03-10T01:03:41.226Z
aLmutkMHeptEOndfjPLG;GqagrbwbXYi2qsDwhq8z;DHL;00340433917162400092;Delivered;2026-03-17T15:53:10.591Z
aOgCjk36S8dJVJM5iYtp;ebay__16-14531-84412;dpd;01596813023653;Delivered;2026-04-23T11:59:33.087Z
aVrb0ARfmiVsa9Xfi5vC;ebay__12-14574-41305;dpd;01596813453596;Delivered;2026-05-03T09:20:50.204Z
aVyjSzZevNVPsAz2p1sn;ebay__12-14489-04000;dp;A0062B01C50000000134;Delivered;2026-04-13T10:44:39.321Z
agyQCM8vApiLAVPtP8QP;30802924;dpd;01596818856056;Delivered;2026-03-10T01:05:03.434Z
akTR2BuxoL7XBGcnyjQS;ebay__17-14488-05425;dp;A0062B01C50000000178;ausstehend;2026-04-13T17:08:46.045Z
akvZAURnjeDopaFvXkPT;ebay__13-14740-53445;dp;A0062B01C50000000BFF;Delivered;2026-06-09T12:05:47.346Z
asgbNm76fIeZcvdTkV3t;32048889;dhl_de;00340434887954500172;Delivered;2026-03-10T01:03:41.611Z
atNyhMJpdifyxCR8f78Y;30818568;dpd;01596818858416;Delivered;2026-03-10T01:05:03.249Z
awx3btXl5B6ClVGT7SEl;ebay__12-14711-09060;dpd;01596815185142;Delivered;2026-06-02T14:18:11.980Z
ayGXRTpzQ9kg0DJWkUFx;kaufland__MY1YT65;dpd;01596816183225;Delivered;2026-06-22T08:07:53.500Z
b1yOMxZhOeCN4IpoJJ3V;ebay__03-14538-93471;dpd;01596812811853;Awaiting customer pickup;2026-04-20T17:33:46.829Z
b9r8MVwwJtGsTJfLlqf0;ebay__05-14764-95394;dp;A0062B01C50000000C24;Delivered;2026-06-12T08:57:27.451Z
bBWLXWPVnkFUxl3qJDON;ebay__03-14768-67404;dpd;01596815713592;Delivered;2026-06-12T08:29:33.006Z
bDIewiBZm7NFM1IWfv6k;ebay__13-14782-13602;DHL;00340433917162400504;ausstehend;2026-06-24T09:54:58.047Z
bFlaQiEpmP90MllktuL7;30841502;dpd;01596818843948;Delivered;2026-03-10T01:05:25.993Z
bS73hdk4ryKVgXFyjtPy;30726979;dpd;01596818753164;Delivered;2026-03-10T01:05:37.054Z
bVHW3HRn0u5LFqABKMCx;31763283;dpd;01596819531947;Delivered;2026-03-10T01:04:02.187Z
bb4eE2kuQVEQoRBTDSVU;ebay__10-14811-87799;dpd;01596816405162;cancelled;2026-06-25T07:35:39.019Z
be1pGuLsFCXr3ZfL0cCm;31715598;dhl_de;00340434887954500004;Delivered;2026-03-10T01:04:04.019Z
bghiwb1mWhjk9dBsNnfX;ebay__20-14756-58786;dhl_de;00340433917162400436;Delivered;2026-06-15T11:39:23.757Z
biA2haXzRr3BBLS95Y2c;ebay__05-14468-94875;dp;A0062B01C50000000042;Delivered;2026-04-05T15:45:46.729Z
bqHvu9TTS1R8zNRCVEre;kaufland__M6TSDC5;dp;A0062B01C50000000829;Delivered;2026-05-08T12:52:25.143Z
bqth6KVfxagm9wwmuTmm;ebay__11-14557-27202;dp;A0062B01C5000000031F;ausstehend;2026-04-27T10:04:34.915Z
bvCDFLSGYhTqPMttHHU4;kaufland__M7TP355;dpd;01596812699427;ausstehend;2026-04-18T11:44:04.659Z
c06MWNr5DXsRdwbrikUW;ebay__02-14767-63593;dp;A0062B01C50000000C02;Delivered;2026-06-12T08:33:43.833Z
c2Vqq39tqZq0ULI8oezq;kaufland__MCBYEB5;dp;A0062B01C50000000544;Delivered;2026-05-03T08:52:46.191Z
c6OgGwUMBNc8XzOQzKyV;32965148;dpd;01596810452785;Ready to send;2026-03-10T01:03:27.397Z
c86HgFDvUfuuJrIVyf96;kaufland__MB7CU55;dpd;01596812811611;Delivered;2026-04-20T17:22:17.518Z
cAFOgGTnqvYvyhfU2wB2;ZOh8DpzHqHAoK44Xagdh;DHL;00340434887954500431;ausstehend;2026-03-17T15:53:22.634Z
cEFU0o5LNTjYEFwwSlit;30264115;dpd;01596818447593;Delivered;2026-03-10T01:05:45.132Z
cKoc9pglZZ4nX5UmWa96;ebay__27-14471-97377;DPD;;problem;2026-04-13T16:44:45.271Z
cLvPCdOE3FjoqQH6YopA;kaufland__M6X1TB5;dpd;01596813408366;Delivered;2026-04-30T09:32:34.656Z
cSgJIeTMZyDfMZcrsHz4;kaufland__MKD5G55;dhl_de;00340433917162400122;Delivered;2026-04-27T10:33:49.953Z
cWMGmgHtJqKRKZtNhH1X;kaufland__M55FLU5;dp;A0062B01C50000000B41;Delivered;2026-06-03T15:04:05.814Z
cXr8EVn1em6frlVV48Sb;ebay__27-14726-51830;dpd;01596815714641;cancelled;2026-06-12T08:37:26.829Z
cl9GgKpSZy8SDUXuCWDh;ebay__08-14593-60304;dp;A0062B01C500000006A1;Delivered;2026-05-04T11:53:21.561Z
cmbVa3K0rGtjeR7dfZYc;ebay__02-14804-82940;dpd;01596816180286;Delivered;2026-06-22T07:53:33.899Z
cpeZi3TZ1UwsOcqmrkv5;29942792;dpd;01596818135800;Delivered;2026-03-10T01:06:21.532Z
cuCH7cihyYv8bk9YgXzu;kaufland__MPEZQ95;dhl_de;00340434887954500585;Delivered;2026-03-30T10:42:04.456Z
cujXHo2ejuav41keQgJP;29852049;dpd;01596818055420;Delivered;2026-03-10T01:06:27.205Z
cwufAS0y6rQNLnCgQjbE;ebay__06-14651-57749;dpd;01596814239059;Delivered;2026-05-16T15:33:32.632Z
d3akqpnKF1kt8rR1esU1;ebay__15-14438-94835;DPD;;problem;2026-04-02T10:06:06.015Z
d8xSRPd2eCBcaPgw88k8;ebay__13-14715-05288;dpd;01596815257318;Delivered;2026-06-03T14:31:52.003Z
dDUZgIZFfBj4PgyJcD37;o3nkUxSp4plBEszaH2A6;dpd;01596811010247;problem;2026-03-18T12:16:26.512Z
dEa98SNOFjwtYteOdbE3;ebay__06-14536-84085;DP;;problem;2026-04-20T18:01:09.410Z
dJlfxL7oLN28KxZprl14;ebay__27-14471-97377;DPD;;problem;2026-04-13T14:36:09.027Z
dLdztZeeyMLpPdvHwn0m;ebay__20-14701-08278;dpd;01596815183058;cancelled;2026-06-02T13:31:28.952Z
dO4Bc9HRF4VBK5qYHtqo;29908385;dpd;01596818135936;Delivered;2026-03-10T01:06:18.237Z
dQWS2NPQp8yOmx7SCceu;32868890;dpd;01596810453091;Ready to send;2026-03-10T01:03:27.224Z
dRuzfXHx4X5Izu8C0pKQ;ebay__23-14548-94458;dpd;01596813330818;ausstehend;2026-04-29T08:49:32.728Z
dSM1mva9QpPLTsDvmesG;31898507;dhl_de;00340434887954500080;Delivered;2026-03-10T01:04:01.619Z
dXXaKuWvEKqbTkU1bIy2;ebay__19-14720-50865;dpd;01596815439707;Delivered;2026-06-08T10:52:22.204Z
dXdBg9F475rJFXnXo5QL;32002796;dhl_de;00340433917162400023;Delivered;2026-03-10T01:03:41.140Z
ddCW6DVMTMP5ga5pagFE;kaufland__MRSPKU5;dp;A0062B01C50000000B52;Delivered;2026-06-03T15:17:55.987Z
de7bcI8ecPRtIFEZGN8u;kaufland__MK5BPB5;dp;A0062B01C500000003C1;zugestellt;2026-04-28T18:55:19.761Z
djfca8L4MRZwsSAzijjo;32564377;dhl_de;00340434887954500233;Delivered;2026-03-10T01:03:37.113Z
dpjKsqg1rXou9jlCUk8o;kaufland__MCH61C5;dpd;01596813813240;Delivered;2026-05-07T11:53:07.035Z
dsuabLIglFG2YBp1o76o;ebay__23-14439-38436;DPD;;problem;2026-04-05T15:44:38.672Z
dwDfRZ59lzNfdk1bWcZK;kaufland__M5LY4C5;dhl_de;00340433917162400252;Delivered;2026-05-08T12:42:06.665Z
e0lOSj8XhdrQ9RuSGQCl;kaufland__MEES7B5;dp;A0062B01C50000000590;Delivered;2026-05-03T09:03:44.797Z
e26JtGrRRNjIupiAoNn3;ebay__25-14582-16768;dp;A0062B01C5000000078E;Delivered;2026-05-07T11:35:08.532Z
e6s9SaQW6vfXIPdRqRow;32099935;dpd;01596819787893;Delivered;2026-03-10T01:03:41.416Z
e8yfZ7DLc7To4dNIRaqK;29991970;dpd;01596818204720;Delivered;2026-03-10T01:06:05.636Z
eBxO5GaIpGOQPEyc3LzE;ebay__18-14779-02139;dhl_de;00340434887954501056;ausstehend;2026-06-22T07:22:30.925Z
eCryU4FSV9bjXBDqREew;ebay__04-14599-74033;dp;A0062B01C5000000062C;Delivered;2026-05-04T10:07:03.530Z
eEpkek0NORoSwQV01Vml;kaufland__MEFCUP5;dpd;01596811330356;Delivered;2026-03-24T10:47:00.394Z
eFI2o8CQqYlqBZhGss3R;32084518;dhl_de;00340434887954500141;Delivered;2026-03-10T01:03:41.991Z
eHLKd054WuGPiRZso52a;ebay__25-14579-69735;dhl_de;00340433917162400238;Awaiting customer pickup;2026-05-08T11:57:34.137Z
eIHXShTjFrOGpQLy7jIL;ebay__18-14578-29831;dp;A0062B01C50000000681;Delivered;2026-05-04T10:57:13.863Z
eNBmdYXaaCG5nNw9wY6G;32319967;dpd;01596819916434;Delivered;2026-03-10T01:03:38.997Z
eQ4obeHgNAeokaQad13i;kaufland__MACX7E5;dp;A0062B01C50000000C4E;Delivered;2026-06-15T08:42:48.508Z
eXIx7jb1xXfoxbTXBA5y;kaufland__M7Y3W55;dp;A0062B01C5000000030C;Delivered;2026-04-27T10:02:39.566Z
eZ2QKGDaeD8Gw2cWA6yW;kaufland__MGS5S55;dp;A0062B01C50000000269;Delivered;2026-04-23T13:03:39.528Z
emwYcDDPkqIaNOxmQrN8;32343595;dpd;01596819917634;Delivered;2026-03-10T01:03:38.227Z
esFSnrSB7etcru382X7a;kaufland__MYD46T5;dp;A0062B01C50000000998;Delivered;2026-05-26T07:03:10.382Z
et0Uw6qbUA4dLbmQbUP2;ebay__09-14724-26799;dpd;01596815335837;Delivered;2026-06-05T12:04:23.066Z
exFbzxQUgwUIcrYpQcw4;32815988;dhl_de;00340434887954500271;Delivered;2026-03-10T01:03:28.122Z
f1RCcsIiGKCXa2RumF2D;ebay__27-14561-36323;dp;A0062B01C50000000673;Delivered;2026-05-04T10:52:32.936Z
f3qNqa09QvvY0IsCSkKO;kaufland__M83QQQ5;dpd;01596812269183;Delivered;2026-04-10T11:52:31.322Z
fEqwB8DL3SNz0VmL0quM;30689389;dpd;01596818753435;Delivered;2026-03-10T01:05:36.239Z
fEzxAC55RhfqGhuHS0Du;kaufland__MX575T5;dpd;01596814586616;Delivered;2026-05-21T16:07:27.774Z
fKAGq080jvZwtcl6sZF0;ebay__17-14591-27745;dp;A0062B01C5000000076F;Delivered;2026-05-07T11:30:43.634Z
fMMDMOZkXLKhi6SJnL61;31164440;dpd;;Announcement failed;2026-03-10T01:04:37.804Z
fNvdQZArnNy3N5fIwvkS;ebay__09-14672-39236;dpd;01596814710256;Delivered;2026-05-26T07:35:04.775Z
fQnEtWG8hd8WvBsVchgH;ebay__12-14574-53858;dpd;01596813452373;Delivered;2026-05-03T07:32:34.660Z
fTM6m9q8yuDyEVBO45Dj;ebay__15-14557-75368;dpd;01596813296539;Delivered;2026-04-28T19:42:05.297Z
ffJUa5zPNszpY0BKES5b;ebay__13-14782-13602;;00340433917162400498;cancelled;2026-06-18T13:48:06.592Z
flSL6mwQgUMDTC37o0Ve;31105416;dpd;01596819147977;Delivered;2026-03-10T01:04:41.277Z
ftxoetqnlQE1uV1lWV3z;ebay__17-14488-05425;dp;A0062B01C5000000018A;ausstehend;2026-04-13T17:08:52.958Z
fv3DqNfnNko3NBKZM02b;kaufland__MXB6QC5;dp;A0062B01C50000000876;Delivered;2026-05-11T11:44:34.063Z
g1WeaGo4gXBqdRQ0PIrT;30922771;dpd;01596818905859;Delivered;2026-03-10T01:05:02.958Z
g5390veT8rdlIkTOWJ4x;30075154;dpd;01596818284831;Delivered;2026-03-10T01:06:04.717Z
g5BnpY9yX9ufdeJHtwc8;30495392;dpd;01596818594993;Delivered;2026-03-10T01:05:40.921Z
g7WemngEXdWlQGSFTccR;29848974;dpd;01596818078411;Delivered;2026-03-10T01:06:26.921Z
